日期,客户id,性别,国籍,职业,产品分类,产品名称,等级,价格,购买数量,消费额(元),门店名称,店长
2019/1/1,A026,女,荷兰,退休,饮料,产品 6,一级,66.6,8,532.8,3W咖啡长城店,Jim
2019/1/1,A014,女,荷兰,上班族,美食,产品 7,一级,20.7,1,20.7,3W咖啡西单店,Jerry
2019/1/1,A012,女,美国,上班族,美食,产品 12,三级,5.4,1,5.4,3W咖啡王府井店,Nancy
2019/1/1,A009,女,英国,学生,饮料,产品 8,二级,36,1,36,3W咖啡公主坟店,Andy
2019/1/1,A010,男,荷兰,无业游民,饮料,产品 28,一级,12.6,2,25.2,3W咖啡王府井店,Nancy
2019/1/1,A013,女,中国,商务精英,咖啡,产品 4,二级,74.4,3,223.2,3W咖啡长城店,Jim
2019/1/1,A004,女,美国,商务精英,茶饮,产品 22,三级,2.8,4,11.2,3W咖啡公主坟店,Andy
2019/1/1,A026,女,荷兰,退休,饮料,产品 30,二级,20.8,1,20.8,3W咖啡望京店,Tom
2019/1/1,A024,男,美国,退休,咖啡,产品 21,一级,47.7,4,190.8,3W咖啡鲁谷店,Lucy
2019/1/1,A018,男,荷兰,退休,饮料,产品 2,三级,19.6,1,19.6,3W咖啡公主坟店,Andy
2019/1/1,A021,男,荷兰,无业游民,茶饮,产品 17,一级,75.2,1,75.2,3W咖啡门头沟店,Simon
2019/1/1,A020,男,中国,退休,冰饮,产品 10,一级,58.4,3,175.2,3W咖啡鲁谷店,Lucy
2019/1/1,A007,男,中国,上班族,冰饮,产品 9,二级,56,2,112,3W咖啡长城店,Jim
2019/1/1,A019,男,荷兰,商务精英,美食,产品 18,二级,61.6,3,184.8,3W咖啡长城店,Jim
2019/1/1,A015,女,荷兰,上班族,饮料,产品 6,一级,74,5,370,3W咖啡门头沟店,Simon
2019/1/1,A008,男,中国,学生,咖啡,产品 21,一级,53,6,318,3W咖啡长城店,Jim
2019/1/1,A012,女,美国,上班族,茶饮,产品 22,三级,3.6,9,32.4,3W咖啡大兴店,Bob
2019/1/1,A019,男,荷兰,商务精英,冰饮,产品 9,二级,70,1,70,3W咖啡大兴店,Bob
2019/1/1,A010,男,荷兰,无业游民,美食,产品 7,一级,16.1,1,16.1,3W咖啡鲁谷店,Lucy
2019/1/1,A024,男,美国,退休,饮料,产品 30,二级,26,5,130,3W咖啡西单店,Jerry
2019/1/1,A025,男,美国,无业游民,咖啡,产品 11,一级,24.8,1,24.8,3W咖啡大兴店,Bob
2019/1/1,A011,男,美国,无业游民,咖啡,产品 4,二级,65.1,6,390.6,3W咖啡望京店,Tom
2019/1/1,A008,男,中国,学生,咖啡,产品 27,一级,22.5,5,112.5,3W咖啡大兴店,Bob
2019/1/2,A025,男,美国,无业游民,美食,产品 12,三级,4.8,4,19.2,3W咖啡望京店,Tom
2019/1/2,A020,男,中国,退休,咖啡,产品 19,二级,39.2,1,39.2,3W咖啡鲁谷店,Lucy
2019/1/2,A011,男,美国,无业游民,咖啡,产品 27,一级,20,3,60,3W咖啡大兴店,Bob
2019/1/2,A012,女,美国,上班族,饮料,产品 8,二级,40,6,240,3W咖啡大兴店,Bob
2019/1/2,A015,女,荷兰,上班族,美食,产品 5,一级,4.5,1,4.5,3W咖啡大兴店,Bob
2019/1/2,A005,男,英国,无业游民,咖啡,产品 27,一级,25,6,150,3W咖啡望京店,Tom
2019/1/2,A025,男,美国,无业游民,饮料,产品 8,二级,36,1,36,3W咖啡鲁谷店,Lucy
2019/1/2,A011,男,美国,无业游民,茶饮,产品 23,一级,3.5,1,3.5,3W咖啡王府井店,Nancy
2019/1/2,A023,女,中国,无业游民,饮料,产品 25,一级,21.6,6,129.6,3W咖啡望京店,Tom
2019/1/2,A004,女,美国,商务精英,冰饮,产品 9,二级,56,2,112,3W咖啡长城店,Jim
2019/1/2,A002,男,荷兰,学生,美食,产品 12,三级,4.2,2,8.4,3W咖啡公主坟店,Andy
2019/1/2,A015,女,荷兰,上班族,饮料,产品 28,一级,12.6,4,50.4,3W咖啡西单店,Jerry
2019/1/2,A003,女,中国,退休,咖啡,产品 19,二级,56,1,56,3W咖啡公主坟店,Andy
2019/1/2,A002,男,荷兰,学生,饮料,产品 6,一级,59.2,2,118.4,3W咖啡鲁谷店,Lucy
2019/1/2,A002,男,荷兰,学生,饮料,产品 3,三级,10.5,4,42,3W咖啡大兴店,Bob
2019/1/2,A003,女,中国,退休,美食,产品 1,一级,25.2,4,100.8,3W咖啡鲁谷店,Lucy
2019/1/2,A004,女,美国,商务精英,咖啡,产品 27,一级,25,5,125,3W咖啡公主坟店,Andy
2019/1/2,A022,男,中国,无业游民,咖啡,产品 11,一级,21.7,1,21.7,3W咖啡王府井店,Nancy
2019/1/2,A007,男,中国,上班族,美食,产品 5,一级,5,6,30,3W咖啡望京店,Tom
2019/1/2,A022,男,中国,无业游民,美食,产品 1,一级,19.6,1,19.6,3W咖啡公主坟店,Andy
2019/1/2,A012,女,美国,上班族,饮料,产品 25,一级,21.6,1,21.6,3W咖啡大兴店,Bob
2019/1/2,A026,女,荷兰,退休,咖啡,产品 16,三级,38.4,1,38.4,3W咖啡公主坟店,Andy
2019/1/2,A005,男,英国,无业游民,美食,产品 7,一级,20.7,1,20.7,3W咖啡西单店,Jerry
2019/1/2,A010,男,荷兰,无业游民,美食,产品 1,一级,19.6,2,39.2,3W咖啡西单店,Jerry
2019/1/2,A025,男,美国,无业游民,咖啡,产品 4,二级,93,7,651,3W咖啡长城店,Jim
2019/1/2,A025,男,美国,无业游民,美食,产品 5,一级,4,7,28,3W咖啡公主坟店,Andy
2019/1/2,A012,女,美国,上班族,茶饮,产品 22,三级,4,1,4,3W咖啡鲁谷店,Lucy
2019/1/2,A005,男,英国,无业游民,茶饮,产品 26,三级,15.3,2,30.6,3W咖啡长城店,Jim
2019/1/2,A003,女,中国,退休,饮料,产品 14,三级,5.6,4,22.4,3W咖啡望京店,Tom
2019/1/2,A020,男,中国,退休,美食,产品 5,一级,5,2,10,3W咖啡望京店,Tom
2019/1/2,A022,男,中国,无业游民,茶饮,产品 22,三级,2.8,3,8.4,3W咖啡大兴店,Bob
2019/1/2,A007,男,中国,上班族,美食,产品 20,二级,59.2,4,236.8,3W咖啡公主坟店,Andy
2019/1/2,A018,男,荷兰,退休,饮料,产品 15,一级,21,2,42,3W咖啡公主坟店,Andy
2019/1/2,A006,女,中国,商务精英,饮料,产品 8,二级,36,2,72,3W咖啡门头沟店,Simon
2019/1/2,A014,女,荷兰,上班族,饮料,产品 15,一级,24,2,48,3W咖啡长城店,Jim
2019/1/2,A013,女,中国,商务精英,咖啡,产品 4,二级,74.4,3,223.2,3W咖啡西单店,Jerry
2019/1/2,A021,男,荷兰,无业游民,茶饮,产品 23,一级,4.5,5,22.5,3W咖啡望京店,Tom
2019/1/2,A006,女,中国,商务精英,美食,产品 20,二级,66.6,2,133.2,3W咖啡王府井店,Nancy
2019/1/2,A015,女,荷兰,上班族,饮料,产品 3,三级,NULL,5,75,3W咖啡王府井店,Nancy
2019/1/2,A006,女,中国,商务精英,饮料,产品 8,二级,32,5,160,3W咖啡王府井店,Nancy
2019/1/2,A007,男,中国,上班族,饮料,产品 28,一级,14.4,6,86.4,3W咖啡大兴店,Bob
2019/1/2,A015,女,荷兰,上班族,饮料,产品 8,二级,28,1,28,3W咖啡西单店,Jerry
2019/1/2,A024,男,美国,退休,咖啡,产品 19,二级,50.4,5,252,3W咖啡公主坟店,Andy
2019/1/2,A025,男,美国,无业游民,饮料,产品 28,一级,18,1,18,3W咖啡望京店,Tom
2019/1/2,A001,男,中国,退休,咖啡,产品 11,一级,31,3,93,3W咖啡大兴店,Bob
2019/1/2,A010,男,荷兰,无业游民,美食,产品 5,一级,5,8,40,3W咖啡大兴店,Bob
2019/1/2,A014,女,荷兰,上班族,美食,产品 5,一级,4.5,7,31.5,3W咖啡西单店,Jerry
2019/1/2,A020,男,中国,退休,美食,产品 1,一级,19.6,1,19.6,3W咖啡长城店,Jim
2019/1/2,A007,男,中国,上班族,咖啡,产品 19,二级,50.4,2,100.8,3W咖啡大兴店,Bob
2019/1/2,A012,女,美国,上班族,咖啡,产品 16,三级,38.4,3,115.2,3W咖啡公主坟店,Andy
2019/1/2,A007,男,中国,上班族,咖啡,产品 21,一级,37.1,1,37.1,3W咖啡门头沟店,Simon
2019/1/2,A021,男,荷兰,无业游民,饮料,产品 6,一级,59.2,6,355.2,3W咖啡王府井店,Nancy
2019/1/2,A012,女,美国,上班族,冰饮,产品 10,一级,73,1,73,3W咖啡长城店,Jim
2019/1/2,A023,女,中国,无业游民,咖啡,产品 19,二级,39.2,1,39.2,3W咖啡王府井店,Nancy
2019/1/2,A018,男,荷兰,退休,茶饮,产品 23,一级,4,3,12,3W咖啡大兴店,Bob
2019/1/2,A025,男,美国,无业游民,美食,产品 7,一级,16.1,4,64.4,3W咖啡西单店,Jerry
2019/1/2,A016,男,英国,无业游民,美食,产品 12,三级,6,2,12,3W咖啡大兴店,Bob
2019/1/2,A017,女,美国,学生,饮料,产品 25,一级,24,1,24,3W咖啡望京店,Tom
2019/1/2,A026,女,荷兰,退休,咖啡,产品 27,一级,17.5,3,52.5,3W咖啡西单店,Jerry
2019/1/2,A014,女,荷兰,上班族,咖啡,产品 16,三级,33.6,2,67.2,3W咖啡望京店,Tom
2019/1/2,A021,男,荷兰,无业游民,饮料,产品 29,三级,NULL,3,8.1,3W咖啡望京店,Tom
2019/1/2,A026,女,荷兰,退休,冰饮,产品 10,一级,58.4,2,116.8,3W咖啡公主坟店,Andy
2019/1/2,A011,男,美国,无业游民,冰饮,产品 9,二级,63,4,252,3W咖啡公主坟店,Andy
2019/1/2,A018,男,荷兰,退休,美食,产品 12,三级,4.8,5,24,3W咖啡望京店,Tom
2019/1/2,A011,男,美国,无业游民,美食,产品 12,三级,4.2,7,29.4,3W咖啡门头沟店,Simon
2019/1/2,A011,男,美国,无业游民,美食,产品 1,一级,25.2,1,25.2,3W咖啡长城店,Jim
2019/1/2,A008,男,中国,学生,茶饮,产品 17,一级,84.6,2,169.2,3W咖啡王府井店,Nancy
2019/1/2,A026,女,荷兰,退休,咖啡,产品 21,一级,37.1,3,111.3,3W咖啡西单店,Jerry
2019/1/2,A017,女,美国,学生,美食,产品 18,二级,70.4,1,70.4,3W咖啡长城店,Jim
2019/1/2,A026,女,荷兰,退休,饮料,产品 24,一级,44.8,1,44.8,3W咖啡门头沟店,Simon
2019/1/2,A003,女,中国,退休,茶饮,产品 17,一级,65.8,1,65.8,3W咖啡大兴店,Bob
2019/1/2,A012,女,美国,上班族,咖啡,产品 13,三级,12.8,1,12.8,3W咖啡门头沟店,Simon
2019/1/2,A023,女,中国,无业游民,咖啡,产品 21,一级,47.7,1,47.7,3W咖啡长城店,Jim
2019/1/2,A022,男,中国,无业游民,美食,产品 18,二级,88,2,176,3W咖啡王府井店,Nancy
2019/1/2,A008,男,中国,学生,美食,产品 20,二级,51.8,1,51.8,3W咖啡望京店,Tom
2019/1/2,A003,女,中国,退休,饮料,产品 8,二级,32,3,96,3W咖啡西单店,Jerry
2019/1/2,A022,男,中国,无业游民,饮料,产品 30,二级,26,7,182,3W咖啡鲁谷店,Lucy
2019/1/3,A003,女,中国,退休,冰饮,产品 10,一级,73,1,73,3W咖啡公主坟店,Andy
2019/1/3,A011,男,美国,无业游民,咖啡,产品 21,一级,37.1,8,296.8,3W咖啡门头沟店,Simon
2019/1/3,A012,女,美国,上班族,饮料,产品 15,一级,21,7,147,3W咖啡公主坟店,Andy
2019/1/3,A009,女,英国,学生,饮料,产品 8,二级,28,4,112,3W咖啡鲁谷店,Lucy
2019/1/3,A024,男,美国,退休,茶饮,产品 22,三级,4,3,12,3W咖啡公主坟店,Andy
2019/1/3,A024,男,美国,退休,美食,产品 20,二级,59.2,1,59.2,3W咖啡王府井店,Nancy
2019/1/3,A001,男,中国,退休,茶饮,产品 17,一级,75.2,6,451.2,3W咖啡门头沟店,Simon
2019/1/3,A006,女,中国,商务精英,咖啡,产品 19,二级,50.4,2,100.8,3W咖啡望京店,Tom
2019/1/3,A004,女,美国,商务精英,美食,产品 18,二级,61.6,1,61.6,3W咖啡王府井店,Nancy
2019/1/3,A012,女,美国,上班族,美食,产品 1,一级,25.2,1,25.2,3W咖啡长城店,Jim
2019/1/3,A022,男,中国,无业游民,饮料,产品 28,一级,14.4,9,129.6,3W咖啡西单店,Jerry
2019/1/3,A003,女,中国,退休,咖啡,产品 11,一级,24.8,3,74.4,3W咖啡长城店,Jim
2019/1/3,A008,男,中国,学生,饮料,产品 28,一级,12.6,1,12.6,3W咖啡王府井店,Nancy
2019/1/3,A013,女,中国,商务精英,饮料,产品 25,一级,24,1,24,3W咖啡西单店,Jerry
2019/1/3,A026,女,荷兰,退休,茶饮,产品 22,三级,3.6,2,7.2,3W咖啡西单店,Jerry
2019/1/3,A003,女,中国,退休,饮料,产品 3,三级,10.5,3,31.5,3W咖啡望京店,Tom
2019/1/3,A017,女,美国,学生,茶饮,产品 17,一级,94,6,564,3W咖啡大兴店,Bob
2019/1/3,A021,男,荷兰,无业游民,咖啡,产品 11,一级,27.9,7,195.3,3W咖啡望京店,Tom
2019/1/3,A024,男,美国,退休,咖啡,产品 13,三级,16,1,16,3W咖啡西单店,Jerry
2019/1/3,A007,男,中国,上班族,美食,产品 7,一级,20.7,1,20.7,3W咖啡望京店,Tom
2019/1/3,A002,男,荷兰,学生,茶饮,产品 17,一级,65.8,2,131.6,3W咖啡长城店,Jim
2019/1/3,A008,男,中国,学生,咖啡,产品 27,一级,22.5,4,90,3W咖啡门头沟店,Simon
2019/1/3,A017,女,美国,学生,美食,产品 20,二级,74,1,74,3W咖啡长城店,Jim
2019/1/3,A014,女,荷兰,上班族,饮料,产品 8,二级,40,1,40,3W咖啡望京店,Tom
2019/1/3,A008,男,中国,学生,美食,产品 20,二级,51.8,1,51.8,3W咖啡大兴店,Bob
2019/1/3,A015,女,荷兰,上班族,咖啡,产品 27,一级,22.5,5,112.5,3W咖啡王府井店,Nancy
2019/1/3,A013,女,中国,商务精英,咖啡,产品 13,三级,14.4,5,72,3W咖啡鲁谷店,Lucy
2019/1/3,A003,女,中国,退休,饮料,产品 25,一级,21.6,8,172.8,3W咖啡公主坟店,Andy
2019/1/3,A022,男,中国,无业游民,咖啡,产品 4,二级,NULL,4,297.6,3W咖啡大兴店,Bob
2019/1/3,A001,男,中国,退休,美食,产品 18,二级,88,1,88,3W咖啡鲁谷店,Lucy
2019/1/3,A022,男,中国,无业游民,饮料,产品 28,一级,14.4,4,57.6,3W咖啡长城店,Jim
2019/1/3,A023,女,中国,无业游民,饮料,产品 2,三级,19.6,2,39.2,3W咖啡大兴店,Bob
2019/1/3,A017,女,美国,学生,咖啡,产品 16,三级,48,1,48,3W咖啡门头沟店,Simon
2019/1/3,A009,女,英国,学生,咖啡,产品 16,三级,38.4,3,115.2,3W咖啡门头沟店,Simon
2019/1/3,A022,男,中国,无业游民,咖啡,产品 4,二级,65.1,4,260.4,3W咖啡王府井店,Nancy
2019/1/3,A020,男,中国,退休,咖啡,产品 4,二级,74.4,5,372,3W咖啡王府井店,Nancy
2019/1/3,A013,女,中国,商务精英,饮料,产品 15,一级,30,1,30,3W咖啡王府井店,Nancy
2019/1/3,A003,女,中国,退休,饮料,产品 6,一级,66.6,1,66.6,3W咖啡王府井店,Nancy
2019/1/3,A004,女,美国,商务精英,咖啡,产品 13,三级,11.2,1,11.2,3W咖啡西单店,Jerry
2019/1/3,A010,男,荷兰,无业游民,饮料,产品 29,三级,3,1,3,3W咖啡大兴店,Bob
2019/1/3,A003,女,中国,退休,饮料,产品 8,二级,36,3,108,3W咖啡门头沟店,Simon
2019/1/3,A025,男,美国,无业游民,美食,产品 7,一级,18.4,1,18.4,3W咖啡鲁谷店,Lucy
2019/1/3,A001,男,中国,退休,冰饮,产品 9,二级,70,2,140,3W咖啡王府井店,Nancy
2019/1/3,A014,女,荷兰,上班族,饮料,产品 30,二级,26,2,52,3W咖啡王府井店,Nancy
2019/1/3,A026,女,荷兰,退休,饮料,产品 14,三级,7.2,1,7.2,3W咖啡望京店,Tom
2019/1/3,A018,男,荷兰,退休,咖啡,产品 16,三级,38.4,4,153.6,3W咖啡望京店,Tom
2019/1/3,A010,男,荷兰,无业游民,饮料,产品 24,一级,44.8,2,89.6,3W咖啡王府井店,Nancy
2019/1/3,A004,女,美国,商务精英,咖啡,产品 21,一级,53,1,53,3W咖啡大兴店,Bob
2019/1/3,A015,女,荷兰,上班族,咖啡,产品 13,三级,16,1,16,3W咖啡王府井店,Nancy
2019/1/3,A020,男,中国,退休,咖啡,产品 21,一级,53,4,212,3W咖啡大兴店,Bob
2019/1/3,A019,男,荷兰,商务精英,饮料,产品 8,二级,36,7,252,3W咖啡大兴店,Bob
2019/1/3,A009,女,英国,学生,饮料,产品 28,一级,18,8,144,3W咖啡西单店,Jerry
2019/1/3,A015,女,荷兰,上班族,饮料,产品 28,一级,14.4,1,14.4,3W咖啡望京店,Tom
2019/1/3,A011,男,美国,无业游民,咖啡,产品 11,一级,21.7,7,151.9,3W咖啡公主坟店,Andy
2019/1/3,A016,男,英国,无业游民,咖啡,产品 21,一级,47.7,5,238.5,3W咖啡长城店,Jim
2019/1/3,A017,女,美国,学生,咖啡,产品 4,二级,93,6,558,3W咖啡鲁谷店,Lucy
2019/1/3,A001,男,中国,退休,美食,产品 1,一级,19.6,4,78.4,3W咖啡望京店,Tom
2019/1/3,A004,女,美国,商务精英,冰饮,产品 10,一级,73,1,73,3W咖啡门头沟店,Simon
2019/1/3,A024,男,美国,退休,饮料,产品 15,一级,21,4,84,3W咖啡西单店,Jerry
2019/1/3,A020,男,中国,退休,茶饮,产品 23,一级,4,5,20,3W咖啡长城店,Jim
2019/1/3,A022,男,中国,无业游民,茶饮,产品 26,三级,17,3,51,3W咖啡望京店,Tom
2019/1/3,A020,男,中国,退休,饮料,产品 30,二级,26,2,52,3W咖啡西单店,Jerry
2019/1/3,A016,男,英国,无业游民,咖啡,产品 21,一级,47.7,7,333.9,3W咖啡公主坟店,Andy
2019/1/3,A019,男,荷兰,商务精英,美食,产品 1,一级,22.4,2,44.8,3W咖啡望京店,Tom
2019/1/3,A010,男,荷兰,无业游民,饮料,产品 8,二级,32,3,96,3W咖啡大兴店,Bob
2019/1/3,A016,男,英国,无业游民,美食,产品 7,一级,18.4,4,73.6,3W咖啡公主坟店,Andy
2019/1/3,A015,女,荷兰,上班族,饮料,产品 30,二级,18.2,6,109.2,3W咖啡王府井店,Nancy
2019/1/3,A005,男,英国,无业游民,冰饮,产品 9,二级,63,7,441,3W咖啡鲁谷店,Lucy
2019/1/3,A024,男,美国,退休,饮料,产品 8,二级,36,1,36,3W咖啡公主坟店,Andy
2019/1/3,A014,女,荷兰,上班族,美食,产品 1,一级,25.2,1,25.2,3W咖啡望京店,Tom
2019/1/3,A017,女,美国,学生,咖啡,产品 4,二级,93,2,186,3W咖啡长城店,Jim
2019/1/3,A012,女,美国,上班族,咖啡,产品 4,二级,83.7,1,83.7,3W咖啡大兴店,Bob
2019/1/3,A019,男,荷兰,商务精英,饮料,产品 2,三级,28,3,84,3W咖啡望京店,Tom
2019/1/3,A002,男,荷兰,学生,饮料,产品 3,三级,12,1,12,3W咖啡门头沟店,Simon
2019/1/3,A010,男,荷兰,无业游民,饮料,产品 3,三级,13.5,3,40.5,3W咖啡望京店,Tom
2019/1/3,A003,女,中国,退休,饮料,产品 25,一级,16.8,7,117.6,3W咖啡王府井店,Nancy
2019/1/3,A020,男,中国,退休,饮料,产品 2,三级,25.2,1,25.2,3W咖啡长城店,Jim
2019/1/3,A005,男,英国,无业游民,咖啡,产品 11,一级,21.7,1,21.7,3W咖啡王府井店,Nancy
2019/1/3,A004,女,美国,商务精英,美食,产品 18,二级,88,1,88,3W咖啡大兴店,Bob
2019/1/3,A018,男,荷兰,退休,美食,产品 5,一级,3.5,1,3.5,3W咖啡望京店,Tom
2019/1/3,A010,男,荷兰,无业游民,饮料,产品 3,三级,10.5,4,42,3W咖啡门头沟店,Simon
2019/1/3,A016,男,英国,无业游民,饮料,产品 2,三级,22.4,1,22.4,3W咖啡望京店,Tom
2019/1/3,A006,女,中国,商务精英,美食,产品 18,二级,70.4,1,70.4,3W咖啡大兴店,Bob
2019/1/3,A017,女,美国,学生,咖啡,产品 4,二级,65.1,1,65.1,3W咖啡长城店,Jim
2019/1/3,A019,男,荷兰,商务精英,饮料,产品 2,三级,28,4,112,3W咖啡鲁谷店,Lucy
2019/1/3,A026,女,荷兰,退休,茶饮,产品 23,一级,4.5,2,9,3W咖啡长城店,Jim
2019/1/3,A002,男,荷兰,学生,茶饮,产品 23,一级,3.5,6,21,3W咖啡公主坟店,Andy
2019/1/3,A018,男,荷兰,退休,茶饮,产品 26,三级,15.3,1,15.3,3W咖啡门头沟店,Simon
2019/1/3,A013,女,中国,商务精英,咖啡,产品 4,二级,93,9,837,3W咖啡大兴店,Bob
2019/1/3,A026,女,荷兰,退休,美食,产品 20,二级,59.2,5,296,3W咖啡王府井店,Nancy
